Feature	Feature Area	Name in extracted dataframe	Function	Description	Notes	References
Raw sequence length/total number of characters	surface	raw_sequence_length	get_raw_sequence_length	Number of characters in the text (including whitespaces)		
Number of tokens	surface	n_tokens	get_num_tokens	Number of tokens in the text		
Number of sentences	surface	n_sentences	get_num_sentences	Number of sentences in the text		
Number of token per sentence	surface	tokens_per_sentence	get_num_tokens_per_sentence	Average number of tokens per sentence: n_tokens / n_sentences		
Number of characters	surface	n_characters	get_num_characters	Number of characters in the text (excluding whitespaces)		
Characters per sentence	surface	characters_per_sentence	get_chars_per_sentence	Average number of characters per sentence: n_characters / n_sentences		
Raw sequence length per sentence	surface	raw_length_per_sentence	get_raw_length_per_sentence	Average number of characters per sentence: raw_sequence_length / n_sentences		
Average word length	surface	avg_word_length	get_avg_word_length	Average word length (in characters): n_characters / n_tokens		
Number of types	surface	n_types	get_num_types	Number of types (unique tokens) in the text		
Number of long words	surface	n_long_words	get_num_long_words	Number of long words (i.t.o. characters)	Threshold of what is considered a long word defaults to >6 characters; can be adapted in the config	
Number of lemmas	surface	n_lemmas	get_num_lemmas	Number of lemmas in the text		
Token frequencies	surface	token_freqs	get_token_freqs	Token frequencies of the types in the text	"As this produces a list in a column, writing to file has to be handled"	
Number of lexical tokens	pos	n_lexical_tokens	get_num_lexical_tokens	"Number of lexical tokens (tokens w/ upos tag NOUN, ADVERB, ADJ, ADV)"		
POS variability	pos	pos_variability	get_pos_variability	POS variability of the text: (unique upos text in the text) / n_tokens		
Number of tokens with upos tag {pos}	pos	n_{pos}	get_num_per_pos	Number of tokens with a given upos tag in the text. Takes a list of upos tag to extract this feature for	"pos_list defaults to all  upos tags; if you only need a subset, this can be adapted in the config"	
Lemma token ratio	lexical richness	lemma_token_ratio	get_lemma_token_ratio	Lemma token ratio of the text: n_lemmas / n_tokens		
Type token ratio	lexical richness	ttr	get_ttr	Type token ratio of the text: n_types / n_tokens		
Root type token ratio	lexical richness	rttr	get_rttr	Root type token ratio of the text: sqrt(n_types / n_tokens)		
Corrected type token ratio	lexical richness	cttr	get_cttr	Corrected type token ratio of the text: n_types / sqrt(2 * n_tokens)		
Herdan's C	lexical richness	herdan_c	get_herdan_c	Herdan's C of a text: log(n_types) / log(n_tokens)		
Summer's type token ratio/ index	lexical richness	summer_index	get_summer_index	Summer's text token ratio of the text: log(log(n_types)) / log(log(n_tokens))		
Dougast's Uber index	lexical richness	dougast_u	get_dougast_u	Dougast's Uber index of the text: log(n_types)^2 / (log(n_tokens) - log( n_types))		
Maas' text token ratio/index	lexical richness	maas_index	get_maas_index	Maas' text token ratio of the text: (n_tokens - n_types) / log(n_types)^2		
Number of hapax legomena	lexical richness	n_hapax_legomena	get_n_hapax_legomena	Number of hapax legomena (tokens that occur only once) in the text		
Number of hapax dislegomena	lexical richness	n_hapax_dislegomena	get_n_hapax_dislegomena	Number of hapax dislegomena (tokens that occur once or twice) in the text		
Sichel's S	lexical richness	sichel_s	get_sichel_s	Sichel's S of the text: n_hapax_dislegomena / n_types		
Lexical density	lexical richness	lexical_density	get_lexical_density	Lexical density of the text: n_lexical_tokens / n_tokens		
Giroud's index	lexical richness	giroud_index	get_giroud_index	Giroud's index of a text: n_types / sqrt(n_tokens)		
Measure of Textual Lexical Density (MTLD)	lexical richness	mtld	get_mtld	"For definition, check https://link.springer.com/article/10.3758/BRM.42.2.381"		
Hypergeometric Distribution Diversity (HD-D	lexical richness	hdd	get_hdd	"For definition, check https://link.springer.com/article/10.3758/BRM.42.2.381"		
Moving-average type token ratio (MATTR)	lexical richness	mattr	get_mattr	"Calculates the TTR for a sliding window of n tokens, then takes the average"		
Mean segmental type token ratio (MSTTR)	lexical richness	msttr	get_msttr	"Divides the text into n segments, calculates the TTR for all of them, then takes the average"		
Yule's K	lexical richness	yule_k	get_yule_k	"Yule's characteristic constant of vocabulary richness, for definition, check https://quantling.org/~hbaayen/publications/TweedieBaayen1998.pdf"		
Simpson's D	lexical richness	simpsons_d	get_simpsons_d	"For definition, check https://quantling.org/~hbaayen/publications/TweedieBaayen1998.pdf"		
Herdan's Vm	lexical richness	herdan_v	get_herdan_v	"For definition, check https://quantling.org/~hbaayen/publications/TweedieBaayen1998.pdf"		
Number of syllables	readability	n_syllables	get_num_syllables	Number of syllables in the text	Only implemented for spacy backbone	
Number of monosyllables	readability	n_monosyllables	get_num_monosyllables	Number of monosyllables (words with only one syllable) in the text		
Number of polysyllables	readability	n_polysyllables	get_num_polysyllables	Number of polysyllables (words with three or more syllables) in the text		
Flesch reading ease	readability	flesch_reading_ease	get_flesch_reading_ease	Flesch reading ease score of the text; for reference: https://en.wikipedia.org/wiki/Flesch%E2%80%93Kincaid_readability_tests#Flesch_Reading_Ease		
Flesch-Kincaid Grade Level	readability	flesch_kincaid_grade	get_flesch_kincaid_grade	Flesch-Kincaid grade level of the text; for reference:https://en.wikipedia.org/wiki/Flesch%E2%80%93Kincaid_readability_tests#Flesch.E2.80.93Kincaid_Grade_Level		
